JOB_NAME,PROCESS_RUN_SK,BATCH_SK,BATCH_STATUS,CREATE_TS,STATUS_UPDATE_TS,ROWS_ADDED_COUNT,ROWS_UPDATED_COUNT,ROWS_DELETED_COUNT,ROWS_DUPLICATED_COUNT,ROWS_SKIPPED_COUNT,ROWS_ERROR_COUNT,TARGET_ENTITY
PRES2K_PROD_CONFIG--GENERIC,3415990306,1075266827,COMPLETED,2024-02-15T11:05:53Z,2024-02-15T11:06:03Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3415989906,1075266627,COMPLETED,2024-02-15T11:02:33Z,2024-02-15T11:06:54Z,1451,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3415989834,1075266591,COMPLETED,2024-02-15T11:01:57Z,2024-02-15T11:09:19Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3415988460,1075265905,COMPLETED,2024-02-15T10:50:31Z,2024-02-15T10:50:42Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3415988018,1075265684,COMPLETED,2024-02-15T10:46:50Z,2024-02-15T10:50:34Z,1349,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3415987876,1075265613,COMPLETED,2024-02-15T10:45:39Z,2024-02-15T10:50:30Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3415986620,1075264985,COMPLETED,2024-02-15T10:35:11Z,2024-02-15T10:35:26Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3415986328,1075264838,COMPLETED,2024-02-15T10:32:44Z,2024-02-15T10:35:41Z,1068,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3415986138,1075264743,COMPLETED,2024-02-15T10:31:09Z,2024-02-15T10:36:05Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3415985002,1075264175,COMPLETED,2024-02-15T10:21:41Z,2024-02-15T10:21:49Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3415984450,1075263899,COMPLETED,2024-02-15T10:17:05Z,2024-02-15T10:20:41Z,1327,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3415984304,1075263826,COMPLETED,2024-02-15T10:15:52Z,2024-02-15T10:20:27Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3415983206,1075263277,COMPLETED,2024-02-15T10:06:43Z,2024-02-15T10:07:08Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3415982660,1075263004,COMPLETED,2024-02-15T10:02:10Z,2024-02-15T10:08:15Z,1540,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3415982572,1075262960,COMPLETED,2024-02-15T10:01:26Z,2024-02-15T10:05:28Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3415981242,1075262295,COMPLETED,2024-02-15T09:50:21Z,2024-02-15T09:50:32Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3415980862,1075262106,COMPLETED,2024-02-15T09:47:12Z,2024-02-15T09:50:45Z,2695,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3415980762,1075262056,COMPLETED,2024-02-15T09:46:22Z,2024-02-15T09:49:37Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3415979428,1075261389,COMPLETED,2024-02-15T09:35:15Z,2024-02-15T09:35:27Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3415978936,1075261142,COMPLETED,2024-02-15T09:31:08Z,2024-02-15T09:35:24Z,2009,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3415978882,1075261115,COMPLETED,2024-02-15T09:30:41Z,2024-02-15T09:34:44Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3415977646,1075260497,COMPLETED,2024-02-15T09:20:23Z,2024-02-15T09:20:33Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3415977206,1075260277,COMPLETED,2024-02-15T09:16:43Z,2024-02-15T09:19:45Z,3102,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3415977082,1075260215,COMPLETED,2024-02-15T09:15:41Z,2024-02-15T09:20:23Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3415975888,1075259618,COMPLETED,2024-02-15T09:05:44Z,2024-02-15T09:06:06Z,-1,-1,-1,-1,-1,-1,
